B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,Design_Window
B2_PENALTY_129_Ru50Al50_Ti,3.939553259,3.02092873,0.2577760603549994,-0.7137016730000019,0.263954287,0.25,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_130_Ru87Cr12_Ti,2.434397938,3.02092873,-0.2158555053475002,-0.9427045900000031,-0.215030493,0.4375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.02092873,0.014345520800000035,-0.8096196399999966,0.013323762,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
B2_PENALTY_132_Ru62Cr37_Ti,2.424470344,3.02092873,-0.22020382987000062,-0.6756799220000004,-0.219068751,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_133_Ru50Cr50_Ti,3.839681408,3.02092873,0.2394637908599996,-0.5380779740000005,0.238682176,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_134_Ru87Cu12_Ti,2.441297595,3.02092873,-0.21372971862500012,-0.9197299369999997,-0.212232559,0.4375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.02092873,0.01519765638500002,-0.8017171889999983,0.017634441,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
B2_PENALTY_136_Ru62Cu37_Ti,2.440175866,3.02092873,-0.21775163886,-0.6806409090000018,-0.212686959,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_137_Ru50Cu50_Ti,3.872743044,3.02092873,0.24427063790250045,-0.5577977589999992,0.24712935,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_138_Ru87Si12_Ti,2.443848687,3.02092873,-0.21335999816999948,-0.989505901999998,-0.211199834,0.4375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.02092873,0.017266590879999984,-0.9361164499999955,0.020030045,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
B2_PENALTY_140_Ru62Si37_Ti,2.448470295,3.02092873,-0.21291380652000022,-0.8697570390000041,-0.209331384,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_141_Ru50Si50_Ti,3.890404933,3.02092873,0.2479397824424991,-0.808674346999996,0.251608805,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_142_Ru100Al0_Zr,5.194385147,3.02092873,0.39506082111708274,-0.9604932320650406,0.529123159,0.5,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_143_Ru87Al12_Zr,2.608733784,3.02092873,-0.15312167549999997,-0.873413171761017,-0.146436823,0.4375,0.0,0.0,0.0625,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_144_Ru75Al25_Zr,3.302387941,3.02092873,0.08573441036000018,-0.7979355870000012,0.089022652,0.375,0.0,0.0,0.125,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_145_Ru62Al37_Zr,2.633831346,3.02092873,-0.15375873295000012,-0.7266526570000003,-0.136910277,0.3125,0.0,0.0,0.1875,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_146_Ru50Al50_Zr,4.199293486,3.02092873,0.3206310194549995,-0.6544182840000012,0.326406784,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_147_Ru87Cr12_Zr,2.592179044,3.02092873,-0.1532612437850004,-0.8240750509999968,-0.152767309,0.4375,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_148_Ru75Cr25_Zr,3.262005664,3.02092873,0.0753467758331248,-0.6758889759999992,0.076740236,0.375,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_149_Ru62Cr37_Zr,2.585500791,3.02092873,-0.1569727904149999,-0.5257646360000018,-0.155331637,0.3125,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_150_Ru50Cr50_Zr,4.09832298,3.02092873,0.2980085125220953,-0.37785516600000185,0.302670644,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_151_Ru87Cu12_Zr,2.598620194,3.02092873,-0.15172960922999995,-0.8424977280000019,-0.150299799,0.4375,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_152_Ru75Cu25_Zr,3.273069781,3.02092873,0.07740689026000004,-0.7449165740000009,0.080121103,0.375,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_153_Ru62Cu37_Zr,2.597649425,3.02092873,-0.15381283379000027,-0.643740808999997,-0.150671324,0.3125,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_154_Ru50Cu50_Zr,4.124319928,3.02092873,0.30430736160958316,-0.5452833049999989,0.30884613,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_155_Ru87Si12_Zr,2.603487904,3.02092873,-0.15007252468000043,-0.8975159743608669,-0.148438799,0.4375,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_156_Ru75Si25_Zr,3.285422312,3.02092873,0.07943808159500022,-0.8575769708067681,0.083881655,0.375,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_157_Ru62Si37_Zr,2.611968248,3.02092873,-0.1492666634350003,-0.806319255999997,-0.145204318,0.3125,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_158_Ru50Si50_Zr,4.150436873,3.02092873,0.30882405477849956,-0.7700789560000009,0.315005037,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_159_A_Ru87_Al12_B_HfTi,2.518380484,3.02092873,-0.18669085963499976,-0.9951158348858226,-0.181447984,0.4375,0.25,0.25,0.0625,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.02092873,0.05151182107999992,-0.9000343030000024,0.053329622,0.375,0.25,0.25,0.125,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_161_A_Ru87_Al12_B_HfZr,2.593983772,3.02092873,-0.15406981623499974,-0.9668944039999964,-0.152075374,0.4375,0.25,0.0,0.0625,0.25,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.02092873,0.08181976937500018,-0.8758682595082984,0.08339422,0.375,0.25,0.0,0.125,0.25,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_163_A_Ru87_Al12_B_HfAl,2.495293785,3.02092873,-0.21897931542500018,-4.954411073999979,-0.190577861,0.25,0.0625,0.0,0.1875,0.0,0.0,0.25,0.0,0.75,0.0,none
