BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name.1,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si,BCC_formation_energy_per_atom_from_BCC,BCC_formation_energy_eV_per_atom_calc,DeltaE_B2_minus_BCC_eV_per_atom,lattice_misfit_delta,S_conf_eV_per_K,Ts_star_K_simple,S_conf_eV_per_K_fixed,lattice_misfit_delta_fixed,DeltaE_B2_minus_BCC_eV_per_atom_fixed,Ts_star_K_simple_fixed
Mo25-Ta75,MATRIX_BIN_054_Ta25_W75,-0.020604693,3.26436851,3.197793083,-0.107372831,5.75,0.021535268,2.145,0.372390924,-0.75,0.25,0.75,0.0,0.0,MATRIX_BIN_054_Ta25_W75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.0206046927307161,0.0001163130065237,,4.8458293461967755e-05,-0.02060469273071614,-0.04096029600000001,-845.2690566197401
Mo25-Ta75,MATRIX_BIN_055_Ta50_W50,0.219283059,3.26436851,4.068337625,-0.070797609,5.5,0.024561404,1.93,0.43,-1.0,0.25,0.75,0.0,0.0,MATRIX_BIN_055_Ta50_W50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.2192830587230398,0.0001197432843391,,5.9730802546012426e-05,0.2192830587230398,-0.004385074000000003,-73.41394746240097
Mo25-Ta75,MATRIX_BIN_056_Ta75_W25,0.001292929,3.26436851,3.268591838,-0.021707099,5.25,0.021012748,1.715,0.372390924,-0.75,0.25,0.75,0.0,0.0,MATRIX_BIN_056_Ta75_W25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.0012929293230113,0.0001187454080683,,4.8458293461967755e-05,0.0012929293230113123,0.044705435999999994,922.5548983702207
Mo25-Ta75,MATRIX_BIN_057_Ta87_W12,-0.222505441,3.26436851,2.610746034,-0.005622646,5.125,0.015670507,1.6032,0.279466921,-0.4224,0.25,0.75,0.0,0.0,MATRIX_BIN_057_Ta87_W12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2225054409083875,0.0001155647498855,,3.246754042778828e-05,-0.22250544090838756,0.06078988899999999,1872.3281221503066
Mo25-Ta75,MATRIX_BIN_058_Ta12_V87,-0.302798027,3.26436851,2.405896049,0.06873568,5.0,0.02879163,1.6144,0.042245,0.0,0.25,0.75,0.0,0.0,MATRIX_BIN_058_Ta12_V87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.3027980271704992,0.0001106051096528,,3.246754042778828e-05,-0.3027980271704992,0.135148215,4162.564001439711
Mo25-Ta75,MATRIX_BIN_059_Ta25_V75,-0.058107751,3.26436851,3.080038888,0.103170482,5.0,0.03792812,1.5975,0.056291651,0.0,0.25,0.75,0.0,0.0,MATRIX_BIN_059_Ta25_V75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.0581077507910693,0.0001133278097723,,4.8458293461967755e-05,-0.05810775079106935,0.169583017,3499.566428873447
Mo25-Ta75,MATRIX_BIN_060_Ta50_V50,0.200593612,3.26436851,3.992176831,0.118279576,5.0,0.042857143,1.565,0.065,0.0,0.25,0.75,0.0,0.0,MATRIX_BIN_060_Ta50_V50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.2005936121938991,0.0001150297319794,,5.9730802546012426e-05,0.20059361219389915,0.184692111,3092.074827853286
Mo25-Ta75,MATRIX_BIN_061_Ta75_V25,-0.006183535,3.26436851,3.244245389,0.083356798,5.0,0.03633673,1.5325,0.056291651,0.0,0.25,0.75,0.0,0.0,MATRIX_BIN_061_Ta75_V25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.0061835350236682,0.0001130026048067,,4.8458293461967755e-05,-0.006183535023668219,0.149769333,3090.685253238348
Mo25-Ta75,MATRIX_BIN_062_Ta87_V12,-0.225983938,3.26436851,2.601565119,0.048231505,5.0,0.026975224,1.5156,0.042245,0.0,0.25,0.75,0.0,0.0,MATRIX_BIN_062_Ta87_V12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2259839380804559,0.0001100988990099,,3.246754042778828e-05,-0.22598393808045594,0.11464404,3531.0355662752513
Mo25-Ta75,MATRIX_BIN_063_W12_V87,-0.310666187,3.26436851,2.38658796,0.007573578,5.125,0.01207138,1.7176,0.237221921,0.0,0.25,0.75,0.0,0.0,MATRIX_BIN_063_W12_V87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.3106661870994734,0.0001148822485871,,3.246754042778828e-05,-0.31066618709947347,0.07398611299999999,2278.7717217001396
