B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,Design_Window
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.02092873,0.04355745754250004,-0.9328003089999964,0.045270564,0.375,0.25,0.0,0.375,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_165_A_Ru87_Al12_B_TiZr,2.533666714,3.02092873,-0.17768809572499986,-0.8820999873413358,-0.175444646,0.4375,0.0,0.25,0.0625,0.25,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.02092873,0.05196520221499999,-0.808063227,0.05955495,0.375,0.0,0.25,0.125,0.25,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_167_A_Ru87_Al12_B_TiAl,2.424572308,3.02092873,-0.23598350599500045,-5.952786629000001,-0.2190272,0.0625,0.0,0.0625,0.25,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_167_A_Ru87_Al13_B_TiAl,2.424470144,3.02092873,-0.21887349349499996,-1.0210210769872234,-0.219068832,0.4375,0.0,0.25,0.3125,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.02092873,0.01620939487500004,-0.9413853389999953,0.016406619,0.375,0.0,0.25,0.375,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
B2_MULTI_169_A_Ru87_Al12_B_ZrAl,2.512434563,3.02092873,-0.18917424493999982,-3.978965603999996,-0.183792077,0.3125,0.0,0.0,0.0625,0.125,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_169_A_Ru87_Al13_B_ZrAl,2.512433663,3.02092873,-0.1934099910349999,-0.9520394900000023,-0.183792432,0.4375,0.0,0.0,0.3125,0.25,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.02092873,0.04755369182750009,-0.8854183384772708,0.051341897,0.375,0.0,0.0,0.375,0.25,0.0,0.25,0.0,0.75,0.0,none
B2_015_RuTi,2.43976227,3.22178751,0.21388216900708343,-1.0546176687379045,-0.276258364,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_TERN_SOL_088_Ru_Ti87_Nb12,2.452124543,3.22178751,-0.2719835136838805,-0.9831852078757626,-0.271298871,0.5,0.0,0.4375,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.22178751,-0.04029293014676234,-0.9031889439999955,-0.037593319,0.5,0.0,0.375,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_TERN_SOL_090_Ru_Ti87_Mo12,2.443019595,3.22178751,-0.27465831519692285,-0.9214556199999983,-0.274949491,0.5,0.0,0.4375,0.0,0.0,0.0625,0.5,0.5,0.0,0.0,none
B2_TERN_SOL_091_Ru_Ti75_Mo25,3.083886002,3.22178751,-0.04437057865121476,-0.7628383109999981,-0.043738867,0.5,0.0,0.375,0.0,0.0,0.125,0.5,0.5,0.0,0.0,none
B2_TERN_SOL_092_Ru_Ti87_Ta12,2.4505202,3.22178751,-0.272333839680381,-1.0123424348544736,-0.27194128,0.5,0.0,0.4375,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.22178751,-0.040713037147883366,-0.9581277760919968,-0.03891701,0.5,0.0,0.375,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_TERN_SOL_094_Ru_Ti87_W12,2.443767345,3.22178751,-0.27437762876692223,-0.9334727529999975,-0.274649239,0.5,0.0,0.4375,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_TERN_SOL_095_Ru_Ti75_W25,3.082186007,3.22178751,-0.04444271987024058,-0.7896133579999975,-0.044290003,0.5,0.0,0.375,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_TERN_SOL_096_Ru_Ti87_V12,2.432602346,3.22178751,-0.27781924669017255,-0.9827277876657603,-0.279140697,0.5,0.0,0.4375,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.22178751,-0.05161841220724743,-0.9053066410000018,-0.053145398,0.5,0.0,0.375,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_125_Ru100Al0_Ti,4.881705796,3.22178751,0.21388216900708343,-1.0546176687379045,0.409679683,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_126_Ru87Al12_Ti,2.450404438,3.22178751,-0.27418577874500033,-0.9702671740000048,-0.271987647,0.4375,0.0,0.5,0.0625,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.22178751,-0.04470691286000005,-0.8881906299999975,-0.038627709,0.375,0.0,0.5,0.125,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_128_Ru62Al37_Ti,2.471374896,3.22178751,-0.2637736113450006,-0.8044402650000002,-0.263618903,0.3125,0.0,0.5,0.1875,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_129_Ru50Al50_Ti,3.939553259,3.22178751,0.19583035181500044,-0.7137016730000019,0.200455689,0.25,0.0,0.5,0.25,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_130_Ru87Cr12_Ti,2.434397938,3.22178751,-0.27900963629500025,-0.9427045900000031,-0.27841717,0.4375,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.22178751,-0.05087249833999994,-0.8096196399999966,-0.05103698,0.375,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_132_Ru62Cr37_Ti,2.424470344,3.22178751,-0.28144828935000027,-0.6756799220000004,-0.282423221,0.3125,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_133_Ru50Cr50_Ti,3.839681408,3.22178751,0.1743958738599999,-0.5380779740000005,0.175004353,0.25,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_134_Ru87Cu12_Ti,2.441297595,3.22178751,-0.27634135082500066,-0.9197299369999997,-0.275641245,0.4375,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.22178751,-0.04781459014000003,-0.8017171889999983,-0.046728618,0.375,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_136_Ru62Cu37_Ti,2.440175866,3.22178751,-0.27579715649499975,-0.6806409090000018,-0.276092088,0.3125,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_137_Ru50Cu50_Ti,3.872743044,3.22178751,0.18280395731500007,-0.5577977589999992,0.183509121,0.25,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_138_Ru87Si12_Ti,2.443848687,3.22178751,-0.2755123006000002,-0.989505901999998,-0.274616582,0.4375,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.22178751,-0.04606808237,-0.9361164499999955,-0.044334044,0.375,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_140_Ru62Si37_Ti,2.448470295,3.22178751,-0.2736123894650006,-0.8697570390000041,-0.27276263,0.3125,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_PENALTY_141_Ru50Si50_Ti,3.890404933,3.22178751,0.18737771595333336,-0.808674346999996,0.188020059,0.25,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_MULTI_159_A_Ru87_Al12_B_HfTi,2.518380484,3.22178751,-0.24556710719000044,-0.9951158348858226,-0.245082383,0.4375,0.25,0.25,0.0625,0.0,0.0,0.5,0.5,0.0,0.0,none
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.22178751,-0.010081713214999979,-0.9000343030000024,-0.011029644,0.375,0.25,0.25,0.125,0.0,0.0,0.5,0.5,0.0,0.0,secondary_2pct
B2_MULTI_161_A_Ru87_Al12_B_HfZr,2.593983772,3.22178751,-0.21701507476750012,-0.9668944039999964,-0.215896983,0.4375,0.25,0.0,0.0625,0.25,0.0,0.5,0.5,0.0,0.0,none
