category,alloy_name,x_Al,x_Cr,x_Cu,x_Hf,x_Mo,x_Nb,x_Ru,x_Si,x_Ta,x_Ti,x_V,x_W,x_Zr,natoms,E_total_eV,E_per_atom_eV,E_form_per_atom_eV,volume_A3,volume_per_atom_A3,Ru_at_frac,vec_avg,radius_avg,vol_avg,delta_r,chi_avg,delta_chi,Hmix_kJmol
05_B2_Ternaries_Solubility,B2_TERN_SOL_102_Ru_Zr87_Ta12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0625,0.0,0.0,0.0,0.4375,16,-150.20025204,-9.3875157525,-1.2326484437500014,238.32800000000015,14.895500000000009,0.5,6.0625,1.4612500000000002,18.21875,0.08594856903506175,1.7756250000000002,0.4262330458505066,-16.25
05_B2_Ternaries_Solubility,B2_TERN_SOL_103_Ru_Zr75_Ta25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.375,16,-153.40987034,-9.58811689625,-1.1661321087500003,238.32799999999992,14.895499999999995,0.5,6.125,1.4525000000000001,17.887500000000003,0.08288467557889503,1.7862500000000001,0.4170113157937085,-14.5
05_B2_Ternaries_Solubility,B2_TERN_SOL_104_Ru_Zr87_W12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0625,0.4375,16,-150.1127575,-9.38204734375,-1.1416019512499993,238.32800000000015,14.895500000000009,0.5,6.125,1.4568750000000001,18.08125,0.08701732015536008,1.8293750000000002,0.44201907127973566,-16.5
05_B2_Ternaries_Solubility,B2_TERN_SOL_105_Ru_Zr75_W25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.125,0.375,16,-153.24119194,-9.57757449625,-0.9844335412499987,238.32799999999992,14.895499999999995,0.5,6.25,1.44375,17.6125,0.0845431381750008,1.89375,0.4396003156277302,-15.0
05_B2_Ternaries_Solubility,B2_TERN_SOL_106_Ru_Zr87_V12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0625,0.0,0.4375,16,-147.41322926,-9.21332682875,-1.2135569212500013,238.32800000000015,14.895500000000009,0.5,6.0625,1.45375,17.93125,0.08872252891790117,1.7837500000000002,0.42212076174952595,-16.0
05_B2_Ternaries_Solubility,B2_TERN_SOL_107_Ru_Zr75_V25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.125,0.0,0.375,16,-147.77780123,-9.236112576875,-1.124322591875,238.32800000000015,14.895500000000009,0.5,6.125,1.4375,17.3125,0.08756310174034158,1.8025,0.4079751830687745,-14.0
06_B2_Penalty_RuSubstitution,B2_PENALTY_108_Ru100Al0_Hf,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,16,-163.13178961,-10.195736850625,-1.6300810456250012,238.32800000000015,14.895500000000009,0.5,6.0,1.46,18.05,0.0821917808219178,1.75,0.45000000000000007,-15.0
06_B2_Penalty_RuSubstitution,B2_PENALTY_109_Ru87Al12_Hf,0.0625,0.0,0.0,0.5,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,16,-155.59501286,-9.72468830375,-1.4885766587500004,238.32800000000015,14.895500000000009,0.4375,5.6875,1.4656250000000002,18.225,0.07934864242623813,1.7131250000000002,0.4355559486162484,-15.3125
06_B2_Penalty_RuSubstitution,B2_PENALTY_110_Ru75Al25_Hf,0.125,0.0,0.0,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,16,-148.32029526,-9.27001845375,-1.3634509687499996,238.32800000000015,14.895500000000009,0.375,5.375,1.47125,18.400000000000002,0.07625289023781602,1.67625,0.4173708632619197,-15.0
06_B2_Penalty_RuSubstitution,B2_PENALTY_111_Ru62Al37_Hf,0.1875,0.0,0.0,0.5,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,16,-141.01469087,-8.813418179375,-1.2363948543750007,238.32799999999992,14.895499999999995,0.3125,5.0625,1.476875,18.575,0.07287612004350151,1.6393749999999998,0.3949282964982378,-14.0625
06_B2_Penalty_RuSubstitution,B2_PENALTY_112_Ru50Al50_Hf,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,16,-133.63000137,-8.351875085625,-1.1043959206250005,238.32799999999992,14.895499999999995,0.25,4.75,1.4825,18.75,0.06918108430612488,1.6025,0.3674489760497368,-12.5
06_B2_Penalty_RuSubstitution,B2_PENALTY_113_Ru87Cr12_Hf,0.0,0.0625,0.0,0.5,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,16,-162.32619957,-10.145387473125,-1.5601493831249993,238.32800000000015,14.895500000000009,0.4375,5.875,1.4562500000000003,17.95625,0.08552303127252676,1.7162500000000003,0.4349838359065772,-12.578125
06_B2_Penalty_RuSubstitution,B2_PENALTY_114_Ru75Cr25_Hf,0.0,0.125,0.0,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,16,-161.05866895,-10.066166809375,-1.4613464343750007,238.32799999999992,14.895499999999995,0.375,5.75,1.4525,17.862500000000004,0.08868621706016011,1.6825,0.41670583149267304,-10.3125
06_B2_Penalty_RuSubstitution,B2_PENALTY_115_Ru62Cr37_Hf,0.0,0.1875,0.0,0.5,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,16,-159.51363694,-9.96960230875,-1.3451996487500004,238.32800000000015,14.895500000000009,0.3125,5.625,1.44875,17.76875,0.09169796160786031,1.64875,0.3947131078390988,-8.203125
06_B2_Penalty_RuSubstitution,B2_PENALTY_116_Ru50Cr50_Hf,0.0,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,16,-157.91457825,-9.869661140625,-1.2256761956250006,238.32799999999992,14.895499999999995,0.25,5.5,1.445,17.675,0.09457197487001007,1.615,0.3683408747342603,-6.25
06_B2_Penalty_RuSubstitution,B2_PENALTY_117_Ru87Cu12_Hf,0.0,0.0,0.0625,0.5,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,16,-156.02232274,-9.75139517125,-1.5201432749999988,238.32800000000015,14.895500000000009,0.4375,6.1875,1.4562500000000003,17.925,0.08552303127252676,1.7312500000000002,0.43691925741491416,-14.4375
06_B2_Penalty_RuSubstitution,B2_PENALTY_118_Ru75Cu25_Hf,0.0,0.0,0.125,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,16,-149.26809426,-9.32925589125,-1.4324079037499997,238.32800000000015,14.895500000000009,0.375,6.375,1.4525,17.800000000000004,0.08868621706016011,1.7125000000000001,0.42260353760942426,-13.5
06_B2_Penalty_RuSubstitution,B2_PENALTY_119_Ru62Cu37_Hf,0.0,0.0,0.1875,0.5,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,16,-142.47296115,-8.904560071875,-1.3421159931250006,238.32799999999992,14.895499999999995,0.3125,6.5625,1.44875,17.675,0.09169796160786031,1.6937499999999999,0.4069225202664508,-12.1875
06_B2_Penalty_RuSubstitution,B2_PENALTY_120_Ru50Cu50_Hf,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,16,-135.71726573,-8.482329108125,-1.2542889381250006,238.32799999999992,14.895499999999995,0.25,6.75,1.445,17.55,0.09457197487001007,1.675,0.3897114317029974,-10.5
