alloy_name_alpha,run_folder,natoms,Pct_Al,Pct_Cr,Pct_Cu,Pct_Hf,Pct_Mo,Pct_Nb,Pct_Ru,Pct_Si,Pct_Ta,Pct_Ti,Pct_V,Pct_W,Pct_Zr,total_energy_eV,energy_per_atom_eV,formation_e_per_atom_eV,formation_meV_per_atom,formation_meV_per_formula_unit,formula_unit_atoms,missing_refs,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,Ru_at_frac,vec_avg,radius_avg,vol_avg,delta_r,chi_avg,delta_chi,Hmix_kJmol
Ta25V75,./03_Matrix_Binaries/MATRIX_BIN_059_Ta25_V75,8,0,0,0,0,0,0,0,0,25,0,75,0,0,-76.79708469,-9.59963558625,0.11041784124999943,110.41784124999943,110.41784124999943,1,,116.87687490938974,5.298733634570537,5.445982710590647,5.298733634570537,110.0351457448186,108.90145615716017,110.0351457448186,0.0,5.0,1.37,14.55,0.03792811987377094,1.5975,0.056291651245988464,0.0
Ta50V50,./03_Matrix_Binaries/MATRIX_BIN_060_Ta50_V50,8,0,0,0,0,0,0,0,0,50,0,50,0,0,-82.47187872,-10.30898484,0.12754397499999826,127.54397499999826,127.54397499999826,1,,127.25044367430843,5.488198122522563,5.488198122522563,5.488198122522563,109.75767938689016,109.32818142192183,109.32818142192183,0.0,5.0,1.4,15.7,0.042857142857142816,1.565,0.06499999999999995,0.0
Ta75V25,./03_Matrix_Binaries/MATRIX_BIN_061_Ta75_V25,8,0,0,0,0,0,0,0,0,75,0,25,0,0,-88.55482196,-11.069352745,0.09365145750000003,93.65145750000003,93.65145750000003,1,,136.58439374726044,5.605077937332221,5.605077937332221,5.605077937332221,109.26462419518545,109.26462419518546,109.26462419518546,0.0,5.0,1.43,16.85,0.036336730228717674,1.5325,0.056291651245988464,0.0
Ta88V12,./03_Matrix_Binaries/MATRIX_BIN_062_Ta87_V12,8,0,0,0,0,0,0,0,0,88,0,12,0,0,-91.73654839,-11.46706854875,0.07370285525000142,73.70285525000142,73.70285525000142,1,,140.86207775996894,5.67725838328911,5.67725838328911,5.67725838328911,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.0,1.4456,17.448,0.02697522436514424,1.5156,0.04224499970410696,0.0
V88W12,./03_Matrix_Binaries/MATRIX_BIN_063_W12_V87,8,0,0,0,0,0,0,0,0,0,0,88,12,0,-75.75726321,-9.46965790125,-0.006693873650000626,-6.693873650000626,-6.693873650000626,1,,108.74826160004724,5.2081250659233636,5.2081250659233636,5.2081250659233636,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.12,1.346,13.687999999999999,0.012071379501687863,1.7175999999999998,0.23722192141537005,0.0
V75W25,./03_Matrix_Binaries/MATRIX_BIN_064_W25_V75,8,0,0,0,0,0,0,0,0,0,0,75,25,0,-79.920458,-9.99005725,-0.007758402499998596,-7.758402499998596,-7.758402499998596,1,,111.5466046519393,5.225153539285139,5.225153539285139,5.225153539285139,109.03761672405194,109.03761672405194,109.03761672405194,0.0,5.25,1.3525,14.0,0.016007863286218792,1.8125,0.31609927238132013,0.0
V50W50,./03_Matrix_Binaries/MATRIX_BIN_065_W50_V50,8,0,0,0,0,0,0,0,0,0,0,50,50,0,-88.26498794,-11.0331234925,-0.05210383749999892,-52.10383749999892,-52.10383749999892,1,,116.9809303940176,5.336369863274219,5.336369863274219,5.336369863274219,109.56137968228735,109.42615992903204,109.42615992903204,0.0,5.5,1.365,14.600000000000001,0.01831501831501825,1.9949999999999999,0.365,0.0
V25W75,./03_Matrix_Binaries/MATRIX_BIN_066_W75_V25,8,0,0,0,0,0,0,0,0,0,0,25,75,0,-96.57323301,-12.07165412625,-0.09191366374999888,-91.91366374999888,-91.91366374999888,1,,122.316977662678,5.405773256540701,5.448137034771852,5.405773256540701,109.63004894966402,109.31192639437964,109.63004894966402,0.0,5.75,1.3775,15.200000000000001,0.015717339451623145,2.1775,0.31609927238132013,0.0
V12W88,./03_Matrix_Binaries/MATRIX_BIN_067_W87_V12,8,0,0,0,0,0,0,0,0,0,0,12,88,0,-100.5111745,-12.5638968125,-0.06482153009999969,-64.82153009999969,-64.82153009999969,1,,125.02853064026053,5.456033221029005,5.456033221029005,5.456033221029005,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.88,1.384,15.512,0.011739939891092408,2.2723999999999998,0.23722192141537005,0.0
Mo33Nb33Ta33,./04_Matrix_Ternaries/MATRIX_TERN_068_Nb33_Mo33_Ta33,9,0,0,0,0,33,33,0,0,33,0,0,0,0,-99.34756997,-11.038618885555556,-0.17150531615555487,-171.50531615555485,-171.50531615555485,1,,155.1331094859805,8.406043464437415,8.49371668462623,2.855492663046287,110.23569806569483,109.77176711990434,109.32489953697947,0.0,5.333333333333334,1.4366666666666668,17.200000000000003,0.022968665746198765,1.7533333333333334,0.2904402788105596,-2.2222222222222228
Mo33Nb33W33,./04_Matrix_Ternaries/MATRIX_TERN_069_Nb33_Mo33_W33,9,0,0,0,0,33,33,0,0,0,0,0,33,0,-102.51414307,-11.390460341111112,-0.1639828173111102,-163.98281731111018,-163.98281731111018,1,,148.87927115322262,8.356125813721127,8.33409389597324,2.782712083127948,109.56610218814654,109.50253390608383,109.50777679994117,0.0,5.666666666666667,1.4133333333333336,16.46666666666667,0.0233478654165369,2.0400000000000005,0.3216623488483951,-2.2222222222222223
Mo33Nb33V33,./04_Matrix_Ternaries/MATRIX_TERN_070_Nb33_Mo33_V33,9,0,0,0,0,33,33,0,0,0,0,33,0,0,-90.16313636,-10.018126262222221,-0.10996020432222053,-109.96020432222053,-109.96020432222053,1,,141.5807399370107,8.162417294918646,8.120368217415614,2.7872099371744707,110.07168994954507,109.78199973828306,108.91216319832975,0.0,5.333333333333334,1.396666666666667,15.666666666666668,0.03523824119387443,1.7966666666666669,0.2572072229848058,-1.7777777777777781
