alloy_name,run_folder,natoms,missing_refs,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,lattice_parameter,n_formula_units,multiplicity,total_energy_eV,energy_per_atom_eV,formation_energy_per_atom_eV,formation_energy_per_atom_meV,VEC,VEC_missing_for,X_Ru,X_Hf,X_Ti,X_Zr,X_Al,X_Mo,X_Nb,X_Ta,X_W,X_V,X_Cr,X_Cu,X_Si
MATRIX_TERN_068_Nb33_Mo33_Ta33,./04_Matrix_Ternaries/MATRIX_TERN_068_Nb33_Mo33_Ta33,9,,155.1331095,8.406043464,8.493716685,2.855492663,110.2356981,109.7717671,109.3248995,3.725584467,3,3,-99.34225036,-11.03802782,-0.065262171,-65.26217111,5.333333333,,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0
MATRIX_TERN_069_Nb33_Mo33_W33,./04_Matrix_Ternaries/MATRIX_TERN_069_Nb33_Mo33_W33,9,,148.8792712,8.356125814,8.334093896,2.782712083,109.5661022,109.5025339,109.5077768,3.674833441,3,3,-102.4957359,-11.3884151,-0.049686914,-49.68691444,5.666666667,,0,0,0,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0
MATRIX_TERN_070_Nb33_Mo33_V33,./04_Matrix_Ternaries/MATRIX_TERN_070_Nb33_Mo33_V33,9,,141.5807399,8.162417295,8.120368217,2.787209937,110.0716899,109.7819997,108.9121632,3.613773878,3,3,-90.16491705,-10.01832412,-0.013214523,-13.21452333,5.333333333,,0,0,0,0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,0
MATRIX_TERN_071_Nb33_Ta33_W33,./04_Matrix_Ternaries/MATRIX_TERN_071_Nb33_Ta33_W33,9,,155.724216,8.456491978,8.510867308,2.818958612,109.6845225,109.2619925,109.7026254,3.730310358,3,3,-105.2488872,-11.6943208,-0.031019427,-31.01942667,5.333333333,,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0
MATRIX_TERN_072_Nb33_Ta33_V33,./04_Matrix_Ternaries/MATRIX_TERN_072_Nb33_Ta33_V33,9,,150.1299149,8.381322052,8.347694028,2.829014759,109.8872082,110.0866331,109.6073813,3.685094771,3,3,-92.1884181,-10.24315757,0.08652521,86.52521,5,,0,0,0,0,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0
MATRIX_TERN_073_Nb33_W33_V33,./04_Matrix_Ternaries/MATRIX_TERN_073_Nb33_W33_V33,9,,142.5905975,8.259801601,8.127695424,2.758409674,109.5566959,109.6164857,109.2177893,3.622345558,3,3,-96.09182941,-10.67686993,0.018775382,18.77538222,5.333333333,,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0
MATRIX_TERN_074_Mo33_Ta33_W33,./04_Matrix_Ternaries/MATRIX_TERN_074_Mo33_Ta33_W33,9,,148.0814382,8.333191133,8.298838816,2.792434254,109.5842495,109.7186119,109.4234194,3.668257294,3,3,-108.1424098,-12.01582331,-0.093088097,-93.08809667,5.666666667,,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0
MATRIX_TERN_075_Mo33_Ta33_V33,./04_Matrix_Ternaries/MATRIX_TERN_075_Mo33_Ta33_V33,9,,140.856848,8.139573226,8.128033088,2.792995882,110.0321949,110.1168331,109.0392153,3.607604365,3,3,-95.68207121,-10.63134125,-0.042224622,-42.22462222,5.333333333,,0,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0,0,0
MATRIX_TERN_076_Mo33_W33_V33,./04_Matrix_Ternaries/MATRIX_TERN_076_Mo33_W33_V33,9,,134.6527225,8.048168361,8.004813639,2.720047071,109.6841884,109.817366,109.0555635,3.553840738,3,3,-99.26564708,-11.02951634,-0.074437179,-74.43717889,5.666666667,,0,0,0,0,0,0.333333333,0,0,0.333333333,0.333333333,0,0,0
MATRIX_TERN_077_Ta33_W33_V33,./04_Matrix_Ternaries/MATRIX_TERN_077_Ta33_W33_V33,9,,141.8993829,8.226514741,8.136422484,2.759846954,109.6668006,109.6881796,109.2306918,3.616482912,3,3,-101.5659161,-11.28510178,-0.005449438,-5.449437778,5.333333333,,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0
B2_TERN_SOL_078_Ru_Hf87_Nb12,./05_B2_Ternaries_Solubility/B2_TERN_SOL_078_Ru_Hf87_Nb12,16,,269.0678204,6.455857271,6.455857271,6.455857271,90,90,90,2.562008656,16,1,-165.5546104,-10.34716315,-1.091011246,-1091.011246,6.0625,,0.5,0.4375,0,0,0,0,0.0625,0,0,0,0,0,0
B2_TERN_SOL_079_Ru_Hf75_Nb25,./05_B2_Ternaries_Solubility/B2_TERN_SOL_079_Ru_Hf75_Nb25,16,,267.3791436,6.430583424,6.448201133,6.448201133,90,90,90,3.221161604,8,2,-164.3127911,-10.26954945,-0.990479496,-990.4794956,6.125,,0.5,0.375,0,0,0,0,0.125,0,0,0,0,0,0
B2_TERN_SOL_080_Ru_Hf87_Mo12,./05_B2_Ternaries_Solubility/B2_TERN_SOL_080_Ru_Hf87_Mo12,16,,266.6768616,6.436677922,6.436677922,6.436677922,90,90,90,2.554397326,16,1,-165.0620171,-10.31637607,-1.011580317,-1011.580317,6.125,,0.5,0.4375,0,0,0,0.0625,0,0,0,0,0,0,0
B2_TERN_SOL_081_Ru_Hf75_Mo25,./05_B2_Ternaries_Solubility/B2_TERN_SOL_081_Ru_Hf75_Mo25,16,,262.1753988,6.390188222,6.390188222,6.420437704,90,90,90,3.200127757,8,2,-163.36288,-10.21018,-0.833822359,-833.8223594,6.25,,0.5,0.375,0,0,0,0.125,0,0,0,0,0,0,0
