B2_Name,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
MATRIX_BIN_064_W25_V75,3.032485885,-0.010397496,5.25,0.0160078632862187,1.8125,0.3160992723813201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
MATRIX_BIN_065_W50_V50,3.881757122,-0.05491275,5.5,0.0183150183150182,1.995,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
MATRIX_BIN_066_W75_V25,3.12710346,-0.09208095,5.75,0.0157173394516231,2.1775,0.3160992723813201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
MATRIX_BIN_067_W87_V12,2.50019019,-0.084931073,5.875,0.0117399398910924,2.2724,0.23722192141537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0
MATRIX_TERN_068_Nb33_Mo33_Ta33,3.725584467,-0.065262171,5.333333333,0.0229686657461987,1.7533333333333334,0.2904402788105596,-2.2222222222222228,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0
MATRIX_TERN_069_Nb33_Mo33_W33,3.674833441,-0.049686914,5.666666667,0.0233478654165369,2.0400000000000005,0.3216623488483951,-2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0
MATRIX_TERN_070_Nb33_Mo33_V33,3.613773878,-0.013214523,5.333333333,0.0352382411938744,1.7966666666666669,0.2572072229848058,-1.777777777777778,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.0,0.0,0.333333333,0.0,0.0,0.0
MATRIX_TERN_071_Nb33_Ta33_W33,3.730310358,-0.031019427,5.333333333,0.0229686657461987,1.82,0.3840138886377244,-1.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0
MATRIX_TERN_072_Nb33_Ta33_V33,3.685094771,0.08652521,5.0,0.0398370017569885,1.5766666666666669,0.0555777733351102,-0.8888888888888891,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.0,0.333333333,0.0,0.0,0.0
MATRIX_TERN_073_Nb33_W33_V33,3.622345558,0.018775382,5.333333333,0.0352382411938744,1.8633333333333333,0.351409858838492,-1.3333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.333333333,0.0,0.0,0.0
MATRIX_TERN_074_Mo33_Ta33_W33,3.668257294,-0.093088097,5.666666667,0.0233478654165369,2.006666666666667,0.3674537007872178,-1.777777777777778,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0
MATRIX_TERN_075_Mo33_Ta33_V33,3.607604365,-0.042224622,5.333333333,0.0352382411938744,1.7633333333333336,0.2854625875467553,-1.3333333333333337,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0
MATRIX_TERN_076_Mo33_W33_V33,3.553840738,-0.074437179,5.666666667,0.0171627859511297,2.0500000000000003,0.3080043289739069,-0.8888888888888891,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.333333333,0.333333333,0.0,0.0,0.0
MATRIX_TERN_077_Ta33_W33_V33,3.616482912,-0.005449438,5.333333333,0.0352382411938744,1.83,0.3785058343892028,-0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0
B2_TERN_SOL_078_Ru_Hf87_Nb12,2.562008656,-1.091011246,6.0625,0.079929319846275,1.7680000000000002,0.4374654272053965,-14.1168,0.5,0.4375,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_079_Ru_Hf75_Nb25,3.221161604,-0.990479496,6.125,0.0772310128363896,1.786,0.4237971212738473,-13.1472,0.5,0.375,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_080_Ru_Hf87_Mo12,2.554397326,-1.011580317,6.125,0.0808002001785193,1.8016,0.4447172584912801,-14.16,0.5,0.4375,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_081_Ru_Hf75_Mo25,3.200127757,-0.833822359,6.25,0.0785362630419332,1.8532,0.4332686926146408,-13.32,0.5,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_082_Ru_Hf87_Ta12,2.560296043,-1.113680888,6.0625,0.079929319846275,1.7620000000000002,0.4404043596514458,-13.68,0.5,0.4375,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,-1.032519678,6.125,0.0772310128363896,1.774,0.4302603862778911,-12.36,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_084_Ru_Hf87_W12,2.554348108,-1.017173511,6.125,0.0808002001785193,1.8136,0.4567614694783263,-13.92,0.5,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
B2_TERN_SOL_085_Ru_Hf75_W25,3.200893611,-0.836868509,6.25,0.0785362630419332,1.8772,0.4546120983871855,-12.84,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
B2_TERN_SOL_086_Ru_Hf87_V12,2.545970218,-1.063735031,6.0625,0.0824106716944606,1.7698,0.4368317296167943,-13.44,0.5,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
B2_TERN_SOL_087_Ru_Hf75_V25,3.180813173,-0.946727169,6.125,0.0813951555025931,1.7896,0.4223266981851847,-11.88,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
